index  element  sigma(nm) epsilon(kJ/mol) 
1  C  0.3285743291286239  0.2591880549216842
2  C  0.35876550847271765  0.259188054921684
3  C  0.34417631543886273  0.25918805492168406
4  C  0.3467102162365648  0.25918805492168423
5  C  0.33869454454486536  0.2591880549216841
6  N  0.3175683741309179  0.42097226362187506
7  C  0.35496089264984326  0.2591880549216841
8  C  0.35499969195927994  0.25918805492168423
9  C  0.346803409918616  0.2591880549216843
10  C  0.3388211598554267  0.2591880549216842
11  C  0.34415355963673205  0.2591880549216842
12  C  0.3588214225123277  0.25918805492168423
13  C  0.3284772953960389  0.2591880549216842
14  N  0.3175445561922436  0.4209722636218752
15  H  0.22711800549415243  0.15047314157375835
16  H  0.2294188382943805  0.15047314157375855
17  H  0.22930481835843808  0.15047314157375838
18  H  0.22715669170538497  0.15047314157375832
19  C  0.34379079495581966  0.2591880549216841
20  C  0.3535830029481418  0.2591880549216841
21  C  0.3508311309215585  0.25918805492168423
22  C  0.35135436164176925  0.2591880549216841
23  C  0.35090909463724884  0.2591880549216841
24  C  0.3539372408413609  0.25918805492168395
25  H  0.22471178228293104  0.1504731415737584
26  H  0.22065900577000344  0.15047314157375832
27  H  0.2217827942579257  0.1504731415737584
28  H  0.22091239364592083  0.1504731415737583
29  H  0.22498347240519276  0.1504731415737584
30  C  0.34383462907332146  0.25918805492168423
31  C  0.353808722861375  0.259188054921684
32  C  0.3508718075060251  0.2591880549216841
33  C  0.35165349723306405  0.2591880549216841
34  C  0.35059290269279136  0.2591880549216841
35  C  0.3536600339153619  0.2591880549216841
36  H  0.22506226386729153  0.15047314157375846
37  H  0.22091834769457958  0.1504731415737585
38  H  0.22163412150066597  0.15047314157375852
39  H  0.22079877062826853  0.15047314157375855
40  H  0.22471144624939032  0.1504731415737584
41  C  0.35935130833368356  0.25918805492168395
42  H  0.22273170077842527  0.15047314157375846
43  H  0.2219229779723723  0.1504731415737584
44  H  0.22237475072107152  0.1504731415737583
45  C  0.3593255291471914  0.2591880549216841
46  H  0.22190686994857656  0.15047314157375846
47  H  0.22244427778766543  0.15047314157375852
48  H  0.22275760685981283  0.1504731415737584
